driver_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
sainz,-0.4494631873154466,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
sirotkin,-1.7985951930060826,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
stroll,-0.932438027499592,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
vandoorne,-1.4889769853806494,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
vettel,1.6018799909320258,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
alonso,0.44645175541729065,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
bottas,1.088364118129219,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
brendon_hartley,-1.271967708870023,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
ericsson,-1.1209034706420844,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
gasly,-0.35682795391456984,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
grosjean,-0.5045486835304719,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
hamilton,2.080564734714481,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
hulkenberg,0.1569304511955745,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
kevin_magnussen,-0.2761484346920039,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
leclerc,-0.285029863771303,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
max_verstappen,1.2913493544378123,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
ocon,0.24058430224119107,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
perez,-0.5057946932216655,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
raikkonen,1.2657520574434733,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
ricciardo,1.0354790926206352,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
sainz,-0.4507372602887056,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
sirotkin,-1.8120427580714298,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
stroll,-1.0471811645432048,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
vandoorne,-1.5249191076026687,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
vettel,1.550625232948452,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
alonso,0.41642160449269267,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
bottas,1.0436762014872007,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
brendon_hartley,-1.1534422860624223,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
ericsson,-1.0912058198229404,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
gasly,-0.4578197347207961,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
grosjean,-0.5164111800052344,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
hamilton,2.066484721239525,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
